First name,Surname,Sex,Country,Swim time,Time T1,Cycle time,Time T2,Run time,Total time,T-shirt,Finish at,Year,Rank swim,Time after cycle,Rank after cycle,Rank final,Rank cycle,Rank run,Gain cycle,Gain run,b_pred,Tranche
David ,Costelloe,Male,Ireland,1.2980555555555555,0.18611111111111112,9.657777777777778,0.20222222222222222,6.038611111111111,17.383333333333333,White,1000 meters,2012,52.75,10.955833333333333,99.0,95.5,99.5,60.75000000000001,46.25,-3.5,58.942460096635855,95.0
Per Ola,Tennebø,Male,Norway,1.2922222222222222,0.1425,9.642222222222221,0.3030555555555556,6.301944444444445,17.681944444444444,Black,Gaustatoppen,2006,62.01550387596899,10.934444444444443,96.89922480620154,89.92248062015504,98.44961240310077,48.837209302325576,34.883720930232556,-6.976744186046503,49.06860018360136,95.0
Ane,Gjengedal Hellesoy,Female,NOR,1.75416,3.0833333333333335,9.64056,3.5833333333333335,6.742776111111111,18.26028,White,1000 meters,2021,78.57142857142857,11.394720000000001,96.42857142857143,92.85714285714286,98.80952380952381,88.09523809523809,17.85714285714286,-3.5714285714285694,81.60743063906837,95.0
Renate,Evensen,Female,Norway,1.6044444444444443,0.1638888888888889,9.634444444444444,0.1388888888888889,8.112222222222222,19.654166666666665,White,1000 meters,2010,85.71428571428571,11.238888888888889,100.0,100.0,100.0,99.53917050691244,14.285714285714292,0.0,91.09267959162204,100.0
Alf Erik,Malm,Male,NOR,2.0319361111111114,6.7,9.630288055555555,7.333333333333333,7.039176111111111,18.952488055555555,White,1000 meters,2021,94.04761904761905,11.662224166666666,98.80952380952381,98.80952380952381,97.61904761904762,98.80952380952381,4.761904761904759,0.0,90.48791539666057,95.0
Thor,Sødal,Male,NOR,2.2094400000000003,9.033333333333333,9.62805611111111,8.716666666666667,6.903336111111111,19.037496111111114,White,1000 meters,2019,100.0,11.837496111111111,100.0,98.18840579710145,97.46376811594203,80.43478260869566,0.0,-1.8115942028985472,75.2580985418527,100.0
Jone Furlund,Owe,Male,Norway,1.6430555555555555,0.12055555555555555,9.6125,0.18055555555555555,7.028611111111111,18.584722222222222,White,1000 meters,2013,93.48837209302326,11.255555555555556,96.27906976744185,96.74418604651163,95.34883720930233,95.34883720930233,2.7906976744185954,0.4651162790697754,87.61954176694734,95.0
Pawel,Bugajny,Male,POL,1.4205599999999998,5.666666666666667,9.608880000000001,14.033333333333333,6.4986,17.85722388888889,White,1000 meters,2019,91.30434782608695,11.029440000000001,97.46376811594203,94.56521739130434,97.10144927536231,65.94202898550725,6.159420289855078,-2.898550724637687,63.24584862820142,95.0
Angie,Hornett,Female,United Kingdom,1.3494444444444444,0.2797222222222222,9.605277777777777,0.14166666666666666,8.113611111111112,19.489444444444445,White,1000 meters,2014,73.27935222672065,10.954722222222221,95.95141700404858,100.0,96.76113360323887,100.0,22.672064777327932,4.048582995951421,91.47463592528192,95.0
Julie,Taunton,Female,South Africa,2.2255555555555557,0.25027777777777777,9.603333333333333,0.16416666666666666,8.06638888888889,20.309722222222224,White,1000 meters,2011,93.48837209302326,11.828888888888889,99.06976744186046,99.53488372093024,98.6046511627907,99.53488372093024,5.581395348837205,0.4651162790697754,91.08912650944846,95.0
Jose Mari,Cagurangan,Male,PHI,1.5497280555555555,8.133333333333333,9.598056111111111,7.166666666666667,7.172496111111111,18.57583194444444,White,1000 meters,2018,91.58878504672897,11.147784166666666,98.13084112149532,97.66355140186917,98.13084112149532,94.39252336448598,6.54205607476635,-0.4672897196261516,86.82690558485984,95.0
Michael,Pentland,Male,Northern Ireland,1.3794444444444445,0.1738888888888889,9.588333333333333,0.12194444444444444,5.633611111111111,16.897222222222222,White,1000 meters,2009,70.72072072072072,10.967777777777778,93.69369369369369,76.12612612612612,95.04504504504504,21.17117117117117,22.97297297297297,-17.567567567567565,26.13773605711112,90.0
Kieran,Ballard Tremeer,Female,RSA,1.07028,5.85,9.575280000000001,8.983333333333333,7.420823888888889,18.31389611111111,White,1000 meters,2019,33.69565217391305,10.645560000000001,96.37681159420289,96.01449275362319,96.73913043478261,91.30434782608695,62.681159420289845,-0.36231884057970376,84.26728597709115,95.0
Kjell,Sundli,Male,NOR,1.662503888888889,13.633333333333333,9.559439999999999,14.883333333333333,6.59556,18.293328055555556,White,1000 meters,2017,95.19650655021834,11.221943888888887,100.0,97.81659388646288,99.56331877729258,79.03930131004367,4.803493449781655,-2.183406113537117,74.10146050431553,100.0
Christian,Oehner,Male,AUT,1.7961119444444444,18.983333333333334,9.54861611111111,9.55,6.443328055555556,18.273888055555556,White,1000 meters,2022,91.70506912442397,11.344728055555555,98.15668202764977,96.31336405529954,98.61751152073732,74.65437788018433,6.451612903225794,-1.8433179723502207,70.46703757398856,95.0
Avner,Gal,Male,Israel,1.643888888888889,0.1922222222222222,9.543888888888889,0.17222222222222222,6.590833333333333,18.1425,White,1000 meters,2016,80.95238095238095,11.187777777777777,98.26839826839827,96.96969696969697,97.40259740259741,81.81818181818183,17.316017316017323,-1.2987012987013031,76.40472239724669,95.0
Terje,Berge,Male,Norway,1.0163888888888888,0.1325,9.541944444444445,0.21333333333333335,7.851944444444444,18.75611111111111,White,1000 meters,2006,13.178294573643413,10.558333333333334,94.57364341085271,97.67441860465115,97.67441860465115,93.7984496124031,81.3953488372093,3.100775193798441,86.3345103808358,90.0
Gary,Boesenberg,Male,United States,1.5611111111111111,0.12777777777777777,9.538333333333334,0.14,6.829444444444444,18.195833333333333,White,1000 meters,2016,70.995670995671,11.099444444444446,97.83549783549783,97.40259740259741,96.96969696969697,87.44588744588745,26.839826839826827,-0.4329004329004249,81.06921944163854,95.0
Turid,Rekve,Female,NOR,1.8169438888888887,5.7,9.53805611111111,10.283333333333333,7.007231944444444,18.644448055555557,White,1000 meters,2021,84.52380952380952,11.354999999999999,95.23809523809523,97.61904761904762,96.42857142857143,96.42857142857143,10.714285714285708,2.380952380952394,88.51447433941786,95.0
Ben,Neiburger,Male,USA,1.3219438888888888,11.083333333333334,9.527231944444445,16.533333333333335,7.0766638888888895,18.39528,White,1000 meters,2022,41.935483870967744,10.849175833333334,97.6958525345622,97.23502304147466,98.15668202764977,93.54838709677419,55.76036866359446,-0.4608294930875445,86.12724725404361,95.0
Daniel,Flöttmann,Male,Germany ,1.9416666666666667,0.19583333333333333,9.497222222222222,0.16416666666666666,7.087777777777778,18.886666666666667,White,1000 meters,2011,80.0,11.438888888888888,96.74418604651163,99.06976744186046,98.13953488372093,97.20930232558139,16.74418604651163,2.3255813953488342,89.16157943028117,95.0
Piotr ,Sprawka,Male,Poland,1.4341666666666666,0.16111111111111112,9.489166666666666,0.1213888888888889,7.661388888888889,18.86777777777778,White,1000 meters,2012,80.25,10.923333333333332,98.75,100.0,99.25,98.5,18.5,1.25,90.23136805921901,95.0
Mark,Sadler,Male,GBR,1.9977838888888888,7.033333333333333,9.48444,12.016666666666667,6.933048055555556,18.74416805555556,White,1000 meters,2022,98.61751152073732,11.482223888888889,98.61751152073732,98.15668202764977,97.6958525345622,90.78341013824884,0.0,-0.4608294930875587,83.83550925208432,95.0
